"POR_NUMBER","POR_PRO_ID","POR_DATE"
"4722427999","815","25.05.2001 09:00:00"
"4722428000","815","25.05.2001 09:00:00"
"4769366020","815","14.02.2006 09:00:00"
"4769366021","815","14.02.2006 09:00:00"
"4769366022","815","14.02.2006 09:00:00"
"4769366023","815","14.02.2006 09:00:00"
"4769366024","815","14.02.2006 09:00:00"
"4769366025","815","14.02.2006 09:00:00"
"4769366026","815","14.02.2006 09:00:00"
"4769366027","815","14.02.2006 09:00:00"
"4769366028","815","14.02.2006 09:00:00"
"4769366029","815","14.02.2006 09:00:00"
"4769366030","815","14.02.2006 09:00:00"
"4769366031","815","14.02.2006 09:00:00"
"4769366032","815","14.02.2006 09:00:00"
"4769366033","815","14.02.2006 09:00:00"
"4769366034","815","14.02.2006 09:00:00"
"4769366035","815","14.02.2006 09:00:00"
"4769366036","815","14.02.2006 09:00:00"
"4769366037","815","14.02.2006 09:00:00"
"4769366038","815","14.02.2006 09:00:00"
"4769366039","815","14.02.2006 09:00:00"
"4769366040","815","14.02.2006 09:00:00"
"4769366041","815","14.02.2006 09:00:00"
"4769366042","815","14.02.2006 09:00:00"
"4769366043","815","14.02.2006 09:00:00"
"4769366044","815","14.02.2006 09:00:00"
"4769366045","815","14.02.2006 09:00:00"
"4769366046","815","14.02.2006 09:00:00"
"4769366047","815","14.02.2006 09:00:00"
"4769366048","815","14.02.2006 09:00:00"
"4769366049","815","14.02.2006 09:00:00"
"4776982133","815","13.05.2002 12:30:00"
"4753401010","815","14.04.2005 09:13:00"
"4753401011","815","14.04.2005 09:13:00"
"4757627770","815","14.04.2005 09:15:00"
"4757627771","815","14.04.2005 09:15:00"
"4757627772","815","14.04.2005 09:15:00"
"4757627773","815","14.04.2005 09:15:00"
"4757627774","815","14.04.2005 09:15:00"
"4757627775","815","14.04.2005 09:15:00"
"4757627776","815","14.04.2005 09:15:00"
"4757627777","815","14.04.2005 09:15:00"
"4757627778","815","14.04.2005 09:15:00"
"4757627779","815","14.04.2005 09:15:00"
"4722219350","815","14.04.2005 09:36:00"
"4722219351","815","14.04.2005 09:36:00"
"4722219352","815","14.04.2005 09:36:00"
"4722219353","815","14.04.2005 09:36:00"
"4722219354","815","14.04.2005 09:36:00"
"4722219355","815","14.04.2005 09:36:00"
"4722219356","815","14.04.2005 09:36:00"
"4722219357","815","14.04.2005 09:36:00"
"4722219358","815","14.04.2005 09:36:00"
"4722219359","815","14.04.2005 09:36:00"
"4755221034","815","14.04.2005 09:45:00"
"4755226620","815","14.04.2005 09:45:00"
"4773520055","815","09.12.2004 09:00:00"
"4773523554","815","09.12.2004 09:00:00"
"4753450099","815","11.10.2005 09:30:00"
"4752770034","815","11.10.2005 09:30:00"
"4738090363","815","29.05.2001 08:00:00"
"4722570100","815","25.05.2001 11:00:00"
"4777843900","815","28.05.2001 11:00:00"
"4723142598","815","30.08.2001 07:30:00"
"4763844429","815","07.08.2001 09:00:00"
"4723142500","815","30.08.2001 07:30:00"
"4723142501","815","30.08.2001 07:30:00"
"4723142502","815","30.08.2001 07:30:00"
"4723142503","815","30.08.2001 07:30:00"
"4723142504","815","30.08.2001 07:30:00"
"4723142505","815","30.08.2001 07:30:00"
"4723142506","815","30.08.2001 07:30:00"
"4723142507","815","30.08.2001 07:30:00"
"4723142508","815","30.08.2001 07:30:00"
"4723142509","815","30.08.2001 07:30:00"
"4723142510","815","30.08.2001 07:30:00"
"4723142511","815","30.08.2001 07:30:00"
"4723142512","815","30.08.2001 07:30:00"
"4723142513","815","30.08.2001 07:30:00"
"4723142514","815","30.08.2001 07:30:00"
"4723142515","815","30.08.2001 07:30:00"
"4723142516","815","30.08.2001 07:30:00"
"4723142517","815","30.08.2001 07:30:00"
"4723142518","815","30.08.2001 07:30:00"
"4723142519","815","30.08.2001 07:30:00"
"4723142520","815","30.08.2001 07:30:00"
"4723142521","815","30.08.2001 07:30:00"
"4723142522","815","30.08.2001 07:30:00"
"4723142523","815","30.08.2001 07:30:00"
"4723142524","815","30.08.2001 07:30:00"
"4723142525","815","30.08.2001 07:30:00"
"4723142526","815","30.08.2001 07:30:00"
"4733477510","815","27.07.2001 08:00:00"
"4722707300","815","02.07.2001 16:00:00"
"4722707301","815","02.07.2001 16:00:00"
"4722707302","815","02.07.2001 16:00:00"
"4722707303","815","02.07.2001 16:00:00"
"4722707304","815","02.07.2001 16:00:00"
"4722707305","815","02.07.2001 16:00:00"
"4722707306","815","02.07.2001 16:00:00"
"4722707307","815","02.07.2001 16:00:00"
"4722707308","815","02.07.2001 16:00:00"
"4722707309","815","02.07.2001 16:00:00"
"4722707310","815","02.07.2001 16:00:00"
"4722707311","815","02.07.2001 16:00:00"
"4722707312","815","02.07.2001 16:00:00"
"4722707313","815","02.07.2001 16:00:00"
"4722707314","815","02.07.2001 16:00:00"
"4722707315","815","02.07.2001 16:00:00"
"4722707316","815","02.07.2001 16:00:00"
"4722707317","815","02.07.2001 16:00:00"
"4722707318","815","02.07.2001 16:00:00"
"4722707319","815","02.07.2001 16:00:00"
"4722707320","815","02.07.2001 16:00:00"
"4722707321","815","02.07.2001 16:00:00"
"4722707322","815","02.07.2001 16:00:00"
"4722707323","815","02.07.2001 16:00:00"
"4722707324","815","02.07.2001 16:00:00"
"4722707325","815","02.07.2001 16:00:00"
"4722707326","815","02.07.2001 16:00:00"
"4722707327","815","02.07.2001 16:00:00"
"4722707328","815","02.07.2001 16:00:00"
"4722707329","815","02.07.2001 16:00:00"
"4722707330","815","02.07.2001 16:00:00"
"4722707331","815","02.07.2001 16:00:00"
"4722707332","815","02.07.2001 16:00:00"
"4722707333","815","02.07.2001 16:00:00"
"4722707334","815","02.07.2001 16:00:00"
"4722707335","815","02.07.2001 16:00:00"
"4722707336","815","02.07.2001 16:00:00"
"4722707337","815","02.07.2001 16:00:00"
"4722707338","815","02.07.2001 16:00:00"
"4722707339","815","02.07.2001 16:00:00"
"4722707340","815","02.07.2001 16:00:00"
"4777621839","815","16.06.2005 10:00:00"
"4777621840","815","16.06.2005 10:00:00"
"4777621841","815","16.06.2005 10:00:00"
"4777621842","815","16.06.2005 10:00:00"
"4777621843","815","16.06.2005 10:00:00"
"4777621844","815","16.06.2005 10:00:00"
"4777621845","815","16.06.2005 10:00:00"
"4777621846","815","16.06.2005 10:00:00"
"4777621847","815","16.06.2005 10:00:00"
"4777621848","815","16.06.2005 10:00:00"
"4777621849","815","16.06.2005 10:00:00"
"4777621850","815","16.06.2005 10:00:00"
"4777621851","815","16.06.2005 10:00:00"
"4777621852","815","16.06.2005 10:00:00"
"4777621853","815","16.06.2005 10:00:00"
"4777621854","815","16.06.2005 10:00:00"
"4777621855","815","16.06.2005 10:00:00"
"4777621856","815","16.06.2005 10:00:00"
"4777621857","815","16.06.2005 10:00:00"
"4777621858","815","16.06.2005 10:00:00"
"4777621859","815","16.06.2005 10:00:00"
"4777621860","815","16.06.2005 10:00:00"
"4777621861","815","16.06.2005 10:00:00"
"4777621862","815","16.06.2005 10:00:00"
"4777621863","815","16.06.2005 10:00:00"
"4777621864","815","16.06.2005 10:00:00"
"4777621865","815","16.06.2005 10:00:00"
"4777621866","815","16.06.2005 10:00:00"
"4777621867","815","16.06.2005 10:00:00"
"4777621868","815","16.06.2005 10:00:00"
"4777621869","815","16.06.2005 10:00:00"
"4777621870","815","16.06.2005 10:00:00"
"4777621871","815","16.06.2005 10:00:00"
"4777621872","815","16.06.2005 10:00:00"
"4777621873","815","16.06.2005 10:00:00"
