GSM04740013024;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740013026;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740013278;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740018694;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740018698;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740106270;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740106642;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740454641;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740456433;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740457492;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740461605;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740464585;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740464719;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740464730;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740464751;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740464754;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740464759;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740464810;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740473983;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740479612;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740480709;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740482808;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740482840;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740483651;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740491827;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740493478;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740496784;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740556219;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740606503;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740606759;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740613453;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740616837;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740620684;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740624319;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740625629;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740626759;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740627291;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740630962;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740634148;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
GSM04740637834;ODBCPA;ADD;;;TRLU 02072014;Batch jobb for sperring av innholdstjenester på m2m prisplan ønsket av T.Vestli;
