107062606;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
118394600;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
119345403;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
121867501;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
129784609;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
149345407;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
150490605;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
153964606;;KORFAK;CSK nulljustert purregebyr;Etter avtale;114;;;;;17.10.2008;;CSK;
157445404;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
182545400;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
223703604;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
240985408;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
264233602;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
265408401;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
272545401;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
277196507;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
277345401;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
277398509;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
280445404;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
282304500;;KORFAK;CSK nulljustert purregebyr;Etter avtale;57;;;;;17.10.2008;;CSK;
